1709036213.322439000	172.17.0.2	192.168.65.7	55562	53			17	61	20			77							
1709036213.322570000	172.17.0.2	192.168.65.7	30108	53			17	61	20			77							
1709036213.324591000	172.17.0.2	192.168.65.254			56052	2020	6	250	20	32		266	0.000000000	0.000000000	1	1	976		
1709036213.324674000	172.17.0.2	192.168.65.254			56052	2020	6	135	20	32		151	0.000083000	0.000083000	199	1	976		
1709036213.324700000	172.17.0.2	192.168.65.254			56052	2020	6	149	20	32		165	0.000026000	0.000109000	282	1	976		
1709036213.324721000	172.17.0.2	192.168.65.254			56052	2020	6	173	20	32		189	0.000021000	0.000130000	379	1	976		
1709036213.324740000	172.17.0.2	192.168.65.254			56052	2020	6	179	20	32		195	0.000019000	0.000149000	500	1	976		
1709036213.324775000	172.17.0.2	192.168.65.254			56052	2020	6	179	20	32		195	0.000035000	0.000184000	627	1	976		
1709036213.324838000	172.17.0.2	192.168.65.254			56052	2020	6	181	20	32		197	0.000063000	0.000247000	754	1	976		
1709036213.324881000	172.17.0.2	192.168.65.254			56052	2020	6	171	20	32		187	0.000043000	0.000290000	883	1	976		
1709036213.324940000	172.17.0.2	192.168.65.254			56052	2020	6	232	20	32		248	0.000059000	0.000349000	1002	1	976		
1709036213.324975000	172.17.0.2	192.168.65.254			56052	2020	6	174	20	32		190	0.000035000	0.000384000	1182	1	976		
1709036213.325658000	192.168.65.7	172.17.0.2	53	30108			17	61	20			77							
1709036213.325725000	192.168.65.254	172.17.0.2			2020	56052	6	52	20	32		68	0.000750000	0.001134000	1	199	4094		
1709036213.325741000	192.168.65.254	172.17.0.2			2020	56052	6	52	20	32		68	0.000016000	0.001150000	1	282	4093		
1709036213.326101000	192.168.65.254	172.17.0.2			2020	56052	6	52	20	32		68	0.000360000	0.001510000	1	379	4093		
1709036213.326131000	192.168.65.254	172.17.0.2			2020	56052	6	52	20	32		68	0.000030000	0.001540000	1	500	4092		
1709036213.326138000	192.168.65.254	172.17.0.2			2020	56052	6	52	20	32		68	0.000007000	0.001547000	1	883	4089		
1709036213.326143000	192.168.65.254	172.17.0.2			2020	56052	6	52	20	32		68	0.000005000	0.001552000	1	1304	4085		
1709036213.326376000	192.168.65.7	172.17.0.2	53	55562			17	61	20			77							
1709036213.327343000	172.17.0.2	192.168.65.7	42898	53			17	61	20			77							
1709036213.331186000	192.168.65.7	172.17.0.2	53	42898			17	61	20			77							
1709036213.331742000	172.17.0.2	192.168.65.7	32615	53			17	61	20			77							
1709036213.331850000	172.17.0.2	192.168.65.7	6105	53			17	61	20			77							
1709036213.332382000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.006239000	0.007791000	1	1304	4096		
1709036213.332431000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000049000	0.007840000	1449	1304	4096		
1709036213.332437000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000006000	0.007846000	1304	2897	1022		
1709036213.332485000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000048000	0.007894000	2897	1304	4096		
1709036213.332492000	192.168.65.254	172.17.0.2			2020	56052	6	385	20	32		401	0.000007000	0.007901000	4345	1304	4096		
1709036213.332494000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000002000	0.007903000	1304	4678	1067		
1709036213.336094000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.003600000	0.011503000	4678	1304	4096		
1709036213.336113000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000019000	0.011522000	6126	1304	4096		
1709036213.336119000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000006000	0.011528000	1304	7574	1112		
1709036213.336169000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000050000	0.011578000	7574	1304	4096		
1709036213.337235000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.001066000	0.012644000	9022	1304	4096		
1709036213.337249000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000014000	0.012658000	1304	10470	1157		
1709036213.337844000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000595000	0.013253000	10470	1304	4096		
1709036213.337857000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000013000	0.013266000	11918	1304	4096		
1709036213.337862000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000005000	0.013271000	1304	13366	1203		
1709036213.337909000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000047000	0.013318000	13366	1304	4096		
1709036213.337923000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000014000	0.013332000	14814	1304	4096		
1709036213.337926000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000003000	0.013335000	1304	16262	1248		
1709036213.338674000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000748000	0.014083000	16262	1304	4096		
1709036213.338688000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000014000	0.014097000	17710	1304	4096		
1709036213.338692000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000004000	0.014101000	1304	19158	1293		
1709036213.339091000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000399000	0.014500000	19158	1304	4096		
1709036213.339106000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000015000	0.014515000	20606	1304	4096		
1709036213.339111000	172.17.0.2	192.168.65.254			56052	2020	6	52	20	32		68	0.000005000	0.014520000	1304	22054	1321		
1709036213.339131000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000020000	0.014540000	22054	1304	4096		
1709036213.339138000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000007000	0.014547000	23502	1304	4096		
1709036213.339146000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000008000	0.014555000	24950	1304	4096		
1709036213.340286000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.001140000	0.015695000	26398	1304	4096		
1709036213.340303000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000017000	0.015712000	27846	1304	4096		
1709036213.340310000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000007000	0.015719000	29294	1304	4096		
1709036213.340317000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000007000	0.015726000	30742	1304	4096		
1709036213.340321000	192.168.65.254	172.17.0.2			2020	56052	6	1500	20	32		1516	0.000004000	0.015730000	32190	1304	4096		
